,Apprehension Date,Apprehension State,Apprehension County,Apprehension AOR,Final Program,Final Program Group,Apprehension Method,Apprehension Criminality,Case Status,Case Category,Departed Date,Departure Country,Final Order Yes No,Final Order Date,Birth Date,Birth Year,Citizenship Country,Gender,Apprehension Site Landmark,Alien File Number,EID Case ID,EID Subject ID,Unique Identifier,comparetime,method_cat,approx_age,year,month,day,standardized_date,extracted_state,time_diff,within_24h,county,flag,in_custody_arrest
10,2025-07-17 13:14:53,north carolina,,atlanta area of responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-07-18,HONDURAS,YES,2005-01-18,"(b)(6), (b)(7)(C)",1982,HONDURAS,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00aa5c3bf27c43a1d6d497d2e805e5294bd379f6,not in compare range,"non-custodial, located, traffic check or worksite enforcement",43,2025,7,01,2025-07-01,,,False,mecklenburg county,,n
11,2025-07-18 11:00:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",1971,MEXICO,Male,new hanover county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00b8630189bae59db5e8394fe596dc86c67edc5c,not in compare range,"federal, state or local incarceration",54,2025,7,01,2025-07-01,,,False,new hanover county,,y
12,2025-03-27 12:55:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-04-01,MEXICO,YES,2007-02-26,"(b)(6), (b)(7)(C)",1973,MEXICO,Male,nc department of corrections,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00c077b08d24c0a36196a35a9f4de309cea377ea,this_year,"federal, state or local incarceration",52,2025,3,01,2025-03-01,,,False,not listed,,y
13,2025-04-17 11:47:56,north carolina,,atlanta area of responsibility,287G Program,ICE,287(g) Program,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-05-09,MEXICO,YES,2011-12-12,"(b)(6), (b)(7)(C)",1977,MEXICO,Male,gaston county jail 287g,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00caa0aa31a633d994c8b9336fba0fe54e236f23,this_year,287g,48,2025,4,01,2025-04-01,,,False,gaston county,,y
14,2025-03-05 14:25:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-03-26,HONDURAS,YES,2020-06-16,"(b)(6), (b)(7)(C)",1999,HONDURAS,Male,new hanover county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00dc6688aa3919ba03f25025a4b85f2f5bc2df7b,this_year,"federal, state or local incarceration",26,2025,3,01,2025-03-01,,,False,new hanover county,,y
15,2025-05-28 09:30:14,north carolina,,atlanta area of responsibility,287G Program,ICE,287(g) Program,1 Convicted Criminal,E-Charging Document Canceled by ICE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,"(b)(6), (b)(7)(C)",1993,MEXICO,Male,"hen general area, henderson 287g","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00e9e80d24107d0116947c3d54504d5cc5a91d05,this_year,287g,32,2025,5,01,2025-05-01,,,False,henderson county,,y
16,2025-04-09 09:30:00,north carolina,,atlanta area of responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8G] Expedited Removal - Credible Fear Referral,2025-05-02,VENEZUELA,YES,2024-07-12,"(b)(6), (b)(7)(C)",2000,VENEZUELA,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00ede8480779c0a1aec5b3c7006e0535d338dce6,this_year,"non-custodial, located, traffic check or worksite enforcement",25,2025,4,01,2025-04-01,,,False,mecklenburg county,,n
17,2025-05-12 09:55:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",2004,HONDURAS,Male,ero charlotte,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00faad18c3bcd8978b321cbf26815069334dee60,this_year,"federal, state or local incarceration",21,2025,5,01,2025-05-01,,,False,mecklenburg county,,y
18,2023-09-26 09:35:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2023-11-06,MEXICO,YES,2019-11-22,"(b)(6), (b)(7)(C)",1985,MEXICO,Male,"rdu general area, non-specific","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0101f6456a6275fed45518e4de45c383911042ac,not in compare range,"federal, state or local incarceration",40,2023,9,01,2023-09-01,,,False,wake county,,y
19,2025-03-25 12:13:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-05-12,MEXICO,YES,2025-05-01,"(b)(6), (b)(7)(C)",1984,MEXICO,Male,"rdu general area, non-specific","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",010b47ee1b462f04768b045fa4bfb3c29fe0bba7,this_year,"federal, state or local incarceration",41,2025,3,01,2025-03-01,,,False,wake county,,y
20,2024-01-30 11:59:00,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-01-09,NICARAGUA,YES,2024-11-20,"(b)(6), (b)(7)(C)",1973,NICARAGUA,Male,stanley co probation 201 s 2nd st courthouse,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0111cda7670fb12c957d11a824e772294a364cd2,last_year,probation and parole,52,2024,1,01,2024-01-01,,,False,stanley county,,y
21,2025-07-22 10:37:37,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,2 Pending Criminal Charges,,,,,,,"(b)(6), (b)(7)(C)",1978,MEXICO,Male,iredell county jail,"(b)(6), (b)(7)(C)",,"(b)(6), (b)(7)(C), (b)(7)(E)",0159063be3aa6804b6931f577410c86753936d43,not in compare range,"federal, state or local incarceration",47,2025,7,01,2025-07-01,,,False,iredell county,,y
22,2024-02-27 12:07:00,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,ACTIVE,[2B] Deportable - Under Adjudication by BIA,,,NO,,"(b)(6), (b)(7)(C)",1998,EL SALVADOR,Male,pitt county fugitive operations,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01737d8eb765165c859d22c8ab0e372ec643600f,last_year,probation and parole,27,2024,2,01,2024-02-01,,,False,pitt county,,y
23,2025-02-26 13:32:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[16] Reinstated Final Order,2025-05-04,MEXICO,YES,2019-04-20,"(b)(6), (b)(7)(C)",1994,MEXICO,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0188b3410b2b7c96ac407b052c6f771137376fe2,this_year,"federal, state or local incarceration",31,2025,2,01,2025-02-01,,,False,mecklenburg county,,y
24,2025-01-13 12:09:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[11] Administrative Deportation / Removal,2025-02-17,MEXICO,YES,2025-02-06,"(b)(6), (b)(7)(C)",1976,MEXICO,Male,nc department of corrections,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01938d867b891658545c850842c713950eeb42de,not in compare range,"federal, state or local incarceration",49,2025,1,01,2025-01-01,,,False,not listed,,y
25,2025-07-04 14:35:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,1 Convicted Criminal,3-Voluntary Departure Confirmed,[1A] Voluntary Departure - Un-Expired and Un-Extended Departure Period,2025-07-20,GUATEMALA,NO,,"(b)(6), (b)(7)(C)",2004,GUATEMALA,Male,"wil general area, non-specific","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0194f97f7a3c5e27c8e34c412ca0b249dbb51625,not in compare range,"non-custodial, located, traffic check or worksite enforcement",21,2025,7,01,2025-07-01,,,False,new hanover county,best guess,n
26,2025-06-15 11:09:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",1990,EL SALVADOR,Male,union county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01994ce5bde48fe3727959610599496db11bbbaa,this_year,"federal, state or local incarceration",35,2025,6,01,2025-06-01,,,False,union county,,y
27,2024-12-09 09:36:00,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-01-06,MEXICO,YES,2010-04-29,"(b)(6), (b)(7)(C)",1986,MEXICO,Male,"union co probation monroe, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",019ff1164e4d6243ad6f9976b3c8994e61a5c891,not in compare range,probation and parole,39,2024,12,01,2024-12-01,,,False,union county,,y
28,2025-01-31 11:28:38,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-11,MEXICO,YES,2025-02-26,"(b)(6), (b)(7)(C)",1978,MEXICO,Male,"yadkin county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01a7ce589e468adc8fbe2bb74221b27dd4f2a5f2,this_year,probation and parole,47,2025,1,01,2025-01-01,,,False,yadkin county,,y
29,2024-02-14 09:51:00,north carolina,,atlanta area of responsibility,Alternatives to Detention,ICE,CAP Local Incarceration,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8F] Expedited Removal,2024-03-21,NICARAGUA,YES,2022-07-10,"(b)(6), (b)(7)(C)",1977,NICARAGUA,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01b7f07c8cdaa051947d68e9ff6b91428ca8c427,last_year,"federal, state or local incarceration",48,2024,2,01,2024-02-01,,,False,mecklenburg county,,y
30,2025-01-17 14:02:43,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,2 Pending Criminal Charges,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",1972,MEXICO,Male,ero charlotte,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01bac01efee7939ff346a03463c2fb9467deb598,not in compare range,"federal, state or local incarceration",53,2025,1,01,2025-01-01,,,False,mecklenburg county,,y
31,2024-03-21 10:48:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-05-14,DOMINICAN REPUBLIC,YES,2024-04-09,"(b)(6), (b)(7)(C)",2001,DOMINICAN REPUBLIC,Male,wilson county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01d17613a5dfad98306391847135c4675dbc9678,last_year,"federal, state or local incarceration",24,2024,3,01,2024-03-01,,,False,wilson county,,y
32,2024-06-13 10:15:00,,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-11-25,MEXICO,YES,2024-11-13,"(b)(6), (b)(7)(C)",1997,MEXICO,Male,new hanover county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01d70a2f34d4ef3b110eef9a1af7adca0db4f80b,last_year,"federal, state or local incarceration",28,2024,6,01,2024-06-01,,,False,new hanover county,,y
33,2025-06-11 09:01:31,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-07-08,HONDURAS,YES,2022-05-16,"(b)(6), (b)(7)(C)",2003,HONDURAS,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01da7acc326473ca0810845a73969eeb4ef4a4a7,this_year,"non-custodial, located, traffic check or worksite enforcement",22,2025,6,01,2025-06-01,,,False,mecklenburg county,,n
34,2023-12-01 11:47:00,north carolina,,atlanta area of responsibility,Alternatives to Detention,ICE,CAP Local Incarceration,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",1994,NICARAGUA,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01e86442141f6bdb483c31cf70707d49eb6e9ea2,not in compare range,"federal, state or local incarceration",31,2023,12,01,2023-12-01,,,False,mecklenburg county,,y
35,2025-02-08 20:00:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,5-Title 50 Expulsion,[8B] Excludable / Inadmissible - Under Adjudication by IJ,2025-03-15,EL SALVADOR,NO,,"(b)(6), (b)(7)(C)",2006,VENEZUELA,Male,wake county fugitive operations,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01ebb94d5e1d4a94dd6b826bb21485d5274f4345,this_year,"non-custodial, located, traffic check or worksite enforcement",19,2025,2,01,2025-02-01,,,False,wake county,,n
36,2025-03-26 12:57:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,Located,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-05-28,ZIMBABWE,YES,2020-03-04,"(b)(6), (b)(7)(C)",1974,ZIMBABWE,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",01f04bbb971808cfb88b374847d98e3d318d9124,this_year,"non-custodial, located, traffic check or worksite enforcement",51,2025,3,01,2025-03-01,,,False,mecklenburg county,,n
37,2024-10-15 11:10:00,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-11-18,HONDURAS,YES,2024-10-31,"(b)(6), (b)(7)(C)",2000,HONDURAS,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0204babf3947809630b40ddbba375f777306b08a,not in compare range,"non-custodial, located, traffic check or worksite enforcement",25,2024,10,01,2024-10-01,,,False,mecklenburg county,,n
38,2024-09-30 07:28:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",1976,MEXICO,Male,union county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",02075186efe5c9d286c5b30ff61503729b3ca328,not in compare range,"federal, state or local incarceration",49,2024,9,01,2024-09-01,,,False,union county,,y
39,2025-02-17 15:31:00,north carolina,,atlanta area of responsibility,287G Program,ICE,287(g) Program,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-03-18,MEXICO,YES,2008-03-11,"(b)(6), (b)(7)(C)",1987,MEXICO,Male,"hen general area, henderson 287g","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0214555049b0a9184affb3fb0af2f8486becbc42,this_year,287g,38,2025,2,01,2025-02-01,,,False,henderson county,,y
40,2025-04-08 11:03:00,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-06-20,EL SALVADOR,YES,2025-06-04,"(b)(6), (b)(7)(C)",1974,EL SALVADOR,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",021771ba3989df62332ceda7ea602f8e0fc0f222,this_year,"non-custodial, located, traffic check or worksite enforcement",51,2025,4,01,2025-04-01,,,False,mecklenburg county,,n
41,2023-10-23 09:06:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2023-11-14,MEXICO,YES,2023-04-20,"(b)(6), (b)(7)(C)",1972,MEXICO,Male,"rdu general area, non-specific","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",021bb7a5a7b8b9ecd484514dcfe072ad837f365b,not in compare range,"non-custodial, located, traffic check or worksite enforcement",53,2023,10,01,2023-10-01,,,False,wake county,,n
42,2025-03-26 07:11:00,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-06-08,MEXICO,YES,2025-06-03,"(b)(6), (b)(7)(C)",2003,MEXICO,Male,"gaston county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",022092baabd41e76d98497367389b5d9aa20cb25,this_year,"non-custodial, located, traffic check or worksite enforcement",22,2025,3,01,2025-03-01,,,False,gaston county,,n
43,2024-01-26 08:45:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,2 Pending Criminal Charges,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2024-04-08,MEXICO,YES,2024-03-26,"(b)(6), (b)(7)(C)",1988,MEXICO,Male,carteret county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",022199be5e9a985222a0b4e8dc6f50e36b813470,last_year,"federal, state or local incarceration",37,2024,1,01,2024-01-01,,,False,carteret county,,y
